Crypto Name,twitter_link,followers
Bornless,https://twitter.com/TheBornlessGame,"6,861 Followers"
Tokenize-Xchange,,
Metaverse-Hq,https://twitter.com/Metaverse_HQ,217.7K Followers
Carrieverse,,
Keyring-Network,https://twitter.com/KeyringNetwork,
Kemet-Trading,https://twitter.com/KemetTrading,
Trex-20,,
Gull-Network,,
Umoja-Labs,https://twitter.com/UmojaLabs,
Dolomite,,
Grvt,https://twitter.com/grvt_io,500.6K Followers
Zkasino,,
Mantra-Dao,,
Bitbrand,,
Crypto-Rogue-Games,https://twitter.com/naramunz,13.6K Followers
Juice-Finance,,
Figure-Markets,https://twitter.com/figuremarkets,"1,817 Followers"
Flash-Protocol,,
Entangle,,
Pac-Finance,,
Tenprotocol,https://twitter.com/tenprotocol,127.5K Followers
Honeypot-Finance,https://twitter.com/honeypotfinance,23.9K Followers
Avalon-Finance,https://twitter.com/avalonfinance_,27.5K Followers
Jambo,https://twitter.com/jambotechnology,174.7K Followers
Meson-Network,,
Mmerch,https://twitter.com/mmerch,"2,450 Followers"
Shui,https://twitter.com/shui_finance,40.9K Followers
Param-Labs,,
Dlc-Link,https://twitter.com/dlc_link,"3,240 Followers"
Noia,,
Range,,
D-2-X,,
Playmadworld,https://twitter.com/playmadworld,10.6K Followers
Aevo,,
Nyan-Heroes,,
Pallet,,
Clique,https://twitter.com/Clique2046,147.8K Followers
Bitrealms,https://twitter.com/BitRealms_web3,14.1K Followers
Polyhedra-Network,,
Edu-3-Labs,,
Orangedx,,
Uxlink,https://twitter.com/UXLINKofficial,558.1K Followers
Demr,,
Fjord-Foundry,,
Munchables,https://twitter.com/_munchables_,10.2K Followers
Cleartoken,https://twitter.com/tokenclearing,221 Followers
Ivendpay,,
Asterix-Labs,,
Ethernity-Chain,,
Metal-Core,https://twitter.com/playmetalcore,223.6K Followers
Snowseed,https://twitter.com/SnowSeedasia,11.4K Followers
Oneness,,
Certi-K,,
Privasea,,
Solak-Gpt,,
Metacene,https://twitter.com/MetaCeneGame,315.9K Followers
Elixir-Finance,https://twitter.com/elixir,70.9K Followers
Xlink-Btc,https://twitter.com/XLinkbtc,28.2K Followers
Kaskade-Finance,https://twitter.com/Kaskade_Finance,"2,022 Followers"
Blockus,https://twitter.com/HelloBlockus,"2,705 Followers"
Nft-Fi,https://twitter.com/nftfi,26.7K Followers
Eclipse-Fnd,https://twitter.com/EclipseFND,103.5K Followers
Bluwhale,https://twitter.com/bluwhaleai,97.7K Followers
Unisat,,
Dream-Os,https://twitter.com/theDreamOS,"9,448 Followers"
Optimism,,
Poolz-Finance,,
Bitsmiley,,
Coti,,
Debox,,
Uxuy,https://twitter.com/uxuycom,93K Followers
Qna-3-Ai,,
Derivio,https://twitter.com/derivio_xyz,38.3K Followers
Cellula,https://twitter.com/cellulalifegame,60.1K Followers
Orionprotocol,,
Vrrb-Labs,https://twitter.com/VersatusLabs,13.2K Followers
Crypto-Slam,https://twitter.com/cryptoslamio,37.7K Followers
Beoble,,
Bison-Network,https://twitter.com/bison_labs,20.6K Followers
Blackwing,https://twitter.com/blackwing_fi,34.8K Followers
Cosmology,https://twitter.com/cosmology_tech,"3,715 Followers"
Oyl,,
Zama,https://twitter.com/zama_fhe,19.8K Followers
Kravata,https://twitter.com/KravataWeb3,122 Followers
Sx-Network-New,,
Toncoin,,
Synnax-Technologies,https://twitter.com/SynnaxTech,982 Followers
Hedgehog-Protocol,https://twitter.com/thehedgehog_io,"2,013 Followers"
Firewall,https://twitter.com/UseFirewall,482 Followers
Io-Net,https://twitter.com/ionet_official,"4,717 Followers"
Utila,https://twitter.com/utila_io,"1,187 Followers"
Sahara,https://twitter.com/SaharaLabsAI,84.8K Followers
Tokenfi,,
Taproot-Labs,https://twitter.com/Taprootlabs,643 Followers
Baanx,,
Bouncebit,https://twitter.com/bounce_bit,314K Followers
Mirrorl-2,https://twitter.com/Mirror_L2,37.8K Followers
Stack-Co,https://twitter.com/stackdotso,"2,693 Followers"
Privasea,,
Bitsmiley,,
Chronoforge,https://twitter.com/playchronoforge,399.5K Followers
Credshields,https://twitter.com/CredShields,
Taikoxyz,https://twitter.com/taikoxyz,861.4K Followers
Zest-Protocol,https://twitter.com/Zest_Blast,"2,842 Followers"
Karma-3-Labs,https://twitter.com/karma3labs,"1,227 Followers"
Orbit-Protocol,,
Imaginary-Ones,,
Silence-Laboratories,https://twitter.com/silencelabs_sl,960 Followers
Linkto,https://twitter.com/LinkTo_io,107.1K Followers
Cetus-Protocol,,
Octav,https://twitter.com/OctavFi,"3,674 Followers"
Integral-Xyz,https://twitter.com/integral_xyz_,"2,853 Followers"
Mxc,,
Contributiondao,,
Bouncebit,https://twitter.com/bounce_bit,314K Followers
Co-Museum,,
Ready-Games-Network,https://twitter.com/TheReadyGames,27.2K Followers
Ether-Fi,,
Coral,,
Morpho,https://twitter.com/MorphoLabs,24.7K Followers
Humanity-Protocol,https://twitter.com/humanityprot,35.5K Followers
Sphere-Labs,https://twitter.com/sphere_labs,12K Followers
Qed-Protocol,https://twitter.com/QEDProtocol,"2,430 Followers"
Geodnet,,
Fair-Math,https://twitter.com/FairMath,404 Followers
Arkis,https://twitter.com/arkisxyz,
Validation-Cloud,https://twitter.com/ValidationCloud,"1,330 Followers"
Cycle-Network,https://twitter.com/cyclenetwork_GO,30.6K Followers
Bitbrawl,,
Initia,,
Babylon-Chain,,
Buildbear,https://twitter.com/_BuildBear,
Play-Makers,https://twitter.com/PlayMakersco,
Aerodrome,,
Saturn,,
Talus-Network,,
Xpla,,
5Ire,,
Avail,https://twitter.com/AvailProject,348.9K Followers
Delphinus-Lab,https://twitter.com/DelphinusLab,"4,832 Followers"
Fortytwo,,
Hackquest,https://twitter.com/hackquest_,16K Followers
Shuffle-Com,,
Flare,,
Ox-Fun,,
Januar,https://twitter.com/januar,
Superfluid,https://twitter.com/Superfluid_HQ,34.7K Followers
Portal-Gate,https://twitter.com/singularityzk,
Clave,https://twitter.com/getclave,22.8K Followers
Renzo-Protocol,https://twitter.com/RenzoProtocol,105.7K Followers
Eigenlayer,https://twitter.com/eigenlayer,283.7K Followers
Helius,https://twitter.com/heliuslabs,26.9K Followers
Honeypot-Finance,https://twitter.com/honeypotfinance,23.9K Followers
Nodeshift,https://twitter.com/nodeshiftcloud,
Prometeus,,
Citrea,https://twitter.com/citrea_xyz,13.2K Followers
Matr-1-X,https://twitter.com/Matr1xOfficial,513K Followers
Inco-Network,https://twitter.com/inconetwork,"9,684 Followers"
Init-Capital,https://twitter.com/InitCapital_,26.9K Followers
Monkey-Tilt,,
Zero-Lend,https://twitter.com/zerolendxyz,247.7K Followers
Degen-Base,,
Jade-98,https://twitter.com/jade_ordinals,11.3K Followers
Meso-Network,https://twitter.com/meso_network,15.2K Followers
Nest-Wallet,,
Crystal-Fun,https://twitter.com/playCrystalFun,83K Followers
Tornado-Blast,https://twitter.com/tornadoblastbot,28.7K Followers
Beoble,,
Altlayer,,
Silencio,https://twitter.com/silencioNetwork,31.5K Followers
Dephy,https://twitter.com/dephynetwork,"8,522 Followers"
Ethena,,
Metropolis,https://twitter.com/metropolisworld,61.8K Followers
Nodekit,https://twitter.com/nodekitorg,32.2K Followers
Sphinx,https://twitter.com/sphinxdeploy,565 Followers
Drosera,,
Concrete,https://twitter.com/ConcreteXYZ,45.7K Followers
Exverse,,
Witness,https://twitter.com/witnesschain,11.2K Followers
Lava-Network,https://twitter.com/lavanetxyz,93.9K Followers
Helika,https://twitter.com/HelikaGaming,12.3K Followers
Meta-Street,https://twitter.com/metastreetxyz,45.3K Followers
Shogun,,
Nfprompt,,
Ethena,,
Overworld,,
Architect,,
Ultiverse,,
Fordefi,https://twitter.com/FordefiHQ,"2,197 Followers"
Watches,,
Analog,https://twitter.com/OneAnalog,231.7K Followers
Hydro-Protocol-Fi,,
Intentx,https://twitter.com/IntentX_,17.6K Followers
Ginger-Joy,https://twitter.com/gingerjoygames,104.7K Followers
Zeus-Network,,
The-Mystery-Society,,
Unisat,,
Pixels,,
Truflation,,
Dtravel,,
Coala-Pay,https://twitter.com/CV_Labs,"8,458 Followers"
Yogapetz,,
Fuzzland,https://twitter.com/hackthedefi,"1,955 Followers"
Dextools,,
Flood,https://twitter.com/bidflood,"2,932 Followers"
Superform,https://twitter.com/superformxyz,124.4K Followers
Omega,https://twitter.com/Omega_Infra,"4,122 Followers"
Ponchiqs,https://twitter.com/ponchiqs,42.1K Followers
Ln-Markets,https://twitter.com/LNMarkets,14.9K Followers
Folks-Finance,https://twitter.com/folksfinance,23.7K Followers
Lightlink,,
Glif,https://twitter.com/glifio,"3,661 Followers"
Clearpool,,
Gigastar,https://twitter.com/GigaStar_,"4,371 Followers"
Debox,,
Startale-Labs,https://twitter.com/startalehq,"6,207 Followers"
Lends,,
Carry-1St,https://twitter.com/carry1st,"4,822 Followers"
Kodiakfi,https://twitter.com/KodiakFi,68.3K Followers
Oobit,,
